mine,area_id,latitude,longitude,depth,ore_thickness,rock_density,moisture,iron_content,silica_content,geological_indicator_1,geological_indicator_2,historical_nearby_production,Mn_grade
Balaghat Mine,BAL-DH001,21.88147,80.17765,79.9,3.5,4.17,5.76,4.83,23.95,-0.091,0.126,22649,26.42
Balaghat Mine,BAL-DH002,21.85944,80.20889,135.1,3.47,4.02,6.6,11.66,7.12,0.407,0.399,18417,32.32
Balaghat Mine,BAL-DH003,21.89736,80.19323,42.7,2.2,4.29,5.3,10.93,22.34,0.115,0.956,33362,28.17
Balaghat Mine,BAL-DH004,21.88043,80.21949,141.7,8.46,3.45,2.94,4.76,12.5,-0.431,0.189,26624,30.66
Balaghat Mine,BAL-DH005,21.88128,80.19464,99.4,3.36,3.68,7.4,9.79,19.31,-0.542,0.742,18948,21.12
Balaghat Mine,BAL-DH006,21.8815,80.20425,163.6,9.88,4.21,2.94,7.0,7.61,-0.368,0.286,71175,46.3
Balaghat Mine,BAL-DH007,21.89332,80.19213,157.6,5.28,4.36,4.39,6.34,12.03,0.16,0.331,47167,38.0
Balaghat Mine,BAL-DH008,21.86047,80.22628,127.8,2.14,3.45,2.19,11.52,18.92,-0.09,0.156,33568,19.83
Balaghat Mine,BAL-DH009,21.89931,80.20286,222.1,10.07,3.41,6.04,9.1,19.95,-0.37,0.664,15474,29.67
Balaghat Mine,BAL-DH010,21.89719,80.22019,77.5,6.36,3.59,7.25,6.84,23.54,0.3,0.636,18240,32.35
Balaghat Mine,BAL-DH011,21.88763,80.20337,182.8,6.66,3.4,3.54,12.83,7.37,0.732,0.832,28603,40.21
Balaghat Mine,BAL-DH012,21.89685,80.18068,123.0,1.91,4.2,6.32,8.52,9.44,0.14,0.333,66453,33.99
Balaghat Mine,BAL-DH013,21.87066,80.18699,133.9,8.72,3.61,3.46,10.17,25.91,-0.061,0.555,16107,30.92
Balaghat Mine,BAL-DH014,21.87892,80.18791,68.7,1.93,4.06,2.94,12.17,24.2,-0.722,0.309,52822,24.24
Balaghat Mine,BAL-DH015,21.86021,80.18302,214.8,7.08,3.9,6.44,5.81,22.34,-0.676,0.479,36380,26.13
Balaghat Mine,BAL-DH016,21.88317,80.22561,43.9,5.35,3.76,6.93,5.81,11.72,-0.042,0.471,26663,34.35
Balaghat Mine,BAL-DH017,21.86199,80.22256,114.3,10.07,3.98,1.82,11.94,25.99,0.894,0.915,64863,44.62
Balaghat Mine,BAL-DH018,21.86019,80.19645,35.7,5.1,4.43,3.17,8.32,21.9,-0.089,0.942,74693,40.69
Balaghat Mine,BAL-DH019,21.87729,80.21232,55.4,4.26,4.42,5.15,11.11,17.3,-0.747,0.614,41691,32.24
Balaghat Mine,BAL-DH020,21.89754,80.18041,61.7,7.33,4.11,2.98,12.46,9.28,-0.407,0.623,49499,37.5
Balaghat Mine,BAL-DH021,21.87046,80.20558,130.5,10.83,3.61,6.01,7.76,11.54,0.359,0.364,29184,40.4
Balaghat Mine,BAL-DH022,21.87241,80.22632,227.2,1.95,3.62,3.17,12.37,24.73,0.733,0.425,18569,21.44
Balaghat Mine,BAL-DH023,21.89119,80.21158,148.7,11.37,4.09,1.55,6.84,22.52,0.344,0.926,16998,43.33
Balaghat Mine,BAL-DH024,21.87716,80.19002,147.3,8.59,3.61,5.5,8.64,12.02,0.78,0.845,14184,40.64
Balaghat Mine,BAL-DH025,21.87068,80.19023,24.5,9.14,4.07,3.15,9.24,21.08,-0.08,0.109,13041,37.58
Balaghat Mine,BAL-DH026,21.87678,80.21813,142.7,2.73,3.53,3.44,11.56,24.08,0.699,0.891,22075,24.37
Balaghat Mine,BAL-DH027,21.86198,80.18154,183.1,10.31,3.83,5.41,12.83,9.94,0.706,0.959,62322,46.54
Balaghat Mine,BAL-DH028,21.88633,80.19301,213.9,9.46,4.31,6.61,11.48,12.07,-0.655,0.868,65526,40.64
Balaghat Mine,BAL-DH029,21.86062,80.21723,117.8,4.34,4.24,2.93,5.83,7.45,-0.259,0.861,72782,38.83
