mine,date,planned_production,actual_production,previous_production,equipment_downtime,blasting_delay,rainfall
Balaghat Mine,2021-01,17700,17230,17640,21.1,10.2,33.5
Balaghat Mine,2021-02,18500,17360,17230,44.4,6.1,8.6
Balaghat Mine,2021-03,18200,18630,17360,34.2,9.8,0.6
Balaghat Mine,2021-04,18400,16750,18630,41.3,10.4,14.5
Balaghat Mine,2021-05,19000,18880,16750,32.7,2.9,27.6
Balaghat Mine,2021-06,17500,14350,18880,57.5,17.9,64.7
Balaghat Mine,2021-07,19300,11490,14350,90.3,15.2,364.3
Balaghat Mine,2021-08,17300,11110,11490,63.3,34.3,184.7
Balaghat Mine,2021-09,18300,11510,11110,64.7,30.1,327.2
Balaghat Mine,2021-10,19000,18940,11510,34.7,4.5,31.7
Balaghat Mine,2021-11,18400,17300,18940,40.4,8.8,13.9
Balaghat Mine,2021-12,17300,16890,17300,29.8,2.8,23.9
Balaghat Mine,2022-01,18900,18400,16890,29.9,4.7,9.1
Balaghat Mine,2022-02,18400,18390,18400,34.3,8.4,34.7
Balaghat Mine,2022-03,17200,15890,18390,42.8,9.7,15.9
Balaghat Mine,2022-04,17900,17120,15890,19.6,10.2,34.8
Balaghat Mine,2022-05,18100,17590,17120,40.9,4.7,26.6
Balaghat Mine,2022-06,18800,16930,17590,28.3,14.9,53.6
Balaghat Mine,2022-07,17500,10730,16930,72.5,16.6,414.7
Balaghat Mine,2022-08,18600,11650,10730,76.2,32.0,203.2
Balaghat Mine,2022-09,17900,12200,11650,61.3,17.3,260.2
Balaghat Mine,2022-10,18900,17760,12200,43.0,11.3,27.8
Balaghat Mine,2022-11,17200,17000,17760,30.3,3.0,21.9
Balaghat Mine,2022-12,17800,17880,17000,14.5,13.0,2.3
Balaghat Mine,2023-01,17800,17040,17880,12.3,10.1,21.9
Balaghat Mine,2023-02,17100,16320,17040,18.2,9.2,26.3
Balaghat Mine,2023-03,17900,17290,16320,37.8,12.6,13.4
Balaghat Mine,2023-04,18500,18410,17290,21.5,4.3,15.9
Balaghat Mine,2023-05,18600,17760,18410,37.6,4.3,2.4
Balaghat Mine,2023-06,17200,14570,17760,42.8,10.9,90.7
Balaghat Mine,2023-07,17800,10430,14570,73.3,35.2,254.8
